sample_id,url_len,num_subdomains,has_ip,is_https,count_at,count_dash,count_double_slash,domain_entropy,tld_type,num_params,has_suspicious_params
584,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
585,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
586,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
587,52,1,0,0,0,3,0,2.9477027792200903,io,0,0
588,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
589,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
590,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
591,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
592,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
593,22,1,0,0,0,0,0,2.807354922057604,mx,0,0
594,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
595,45,1,0,0,0,0,0,3.121928094887362,com,0,0
596,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
597,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
598,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
599,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
600,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
601,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
602,34,1,0,0,0,0,0,2.9477027792200903,io,0,0
603,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
604,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
605,43,1,0,0,0,2,0,3.277613436819116,com,0,0
606,29,1,0,0,0,0,0,3.121928094887362,com,0,0
607,42,1,0,0,0,3,0,3.452819531114783,io,0,0
608,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
609,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
610,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
611,17,0,0,0,0,0,0,3.1219280948873624,com,0,0
612,35,1,0,0,0,0,0,3.121928094887362,com,0,0
613,31,1,0,0,0,1,0,3.4677201004745006,com,0,0
614,28,1,0,0,0,1,0,2.9219280948873623,app,0,0
615,30,1,0,0,0,0,0,3.121928094887362,com,0,0
616,26,1,0,0,0,0,0,3.452819531114783,com,0,0
617,14,0,0,0,0,0,0,2.807354922057604,cn,0,0
